"study_ID","companion_Type","score","combo","event_Type","event_Actuator","event_Receiver","time_Seconds"
45,2,0,0,"HIT","PLAYER","PLAYER_ENEMY",7
45,2,0,0,"HIT","PLAYER","PLAYER_ENEMY",7
45,2,0,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",8
45,2,0,1,"HIT","COMPANION","COMPANION_ENEMY",8
45,2,0,1,"HIT","COMPANION","COMPANION_ENEMY",9
45,2,6,1,"HIT","COMPANION","COMPANION_ENEMY",9
45,2,6,0,"MISS","PLAYER","PLAYER_ENEMY",10
45,2,6,0,"HIT","COMPANION","COMPANION_ENEMY",10
45,2,6,0,"HIT","PLAYER","PLAYER_ENEMY",10
45,2,6,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",11
45,2,6,1,"HIT","PLAYER","PLAYER_ENEMY",11
45,2,6,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",11
45,2,6,2,"HIT","PLAYER","PLAYER_ENEMY",12
45,2,6,2,"HIT","PLAYER","PLAYER_ENEMY",12
45,2,18,3,"HIT_KILL","COMPANION","COMPANION_ENEMY",12
45,2,18,3,"HIT","PLAYER","PLAYER_ENEMY",13
45,2,36,4,"HIT_KILL","PLAYER","PLAYER_ENEMY",13
45,2,36,4,"HIT","PLAYER","PLAYER_ENEMY",13
45,2,44,4,"HIT","COMPANION","COMPANION_ENEMY",14
45,2,60,4,"MISS","COMPANION","COMPANION_ENEMY",15
45,2,60,4,"HIT","COMPANION","COMPANION_ENEMY",15
45,2,84,4,"BUFF","COMPANION","PLAYER_ENEMY",15
45,2,84,4,"HIT","PLAYER","PLAYER_ENEMY",15
45,2,84,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",15
45,2,84,1,"MISS","COMPANION","COMPANION_ENEMY",15
45,2,84,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",15
45,2,84,2,"MISS","PLAYER","PLAYER_ENEMY",16
45,2,84,2,"HIT","COMPANION","COMPANION_ENEMY",17
45,2,84,2,"MISS","COMPANION","COMPANION_ENEMY",17
45,2,108,2,"HIT","PLAYER","PLAYER_ENEMY",17
45,2,108,0,"HIT","COMPANION","COMPANION_ENEMY",17
45,2,108,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",18
45,2,108,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",18
45,2,108,2,"MISS","PLAYER","PLAYER_ENEMY",18
45,2,108,2,"HIT","COMPANION","COMPANION_ENEMY",19
45,2,128,2,"MISS","COMPANION","COMPANION_ENEMY",19
45,2,128,2,"MISS","PLAYER","PLAYER_ENEMY",19
45,2,140,2,"HIT","COMPANION","COMPANION_ENEMY",20
45,2,140,2,"HIT","COMPANION","COMPANION_ENEMY",20
45,2,140,0,"MISS","PLAYER","PLAYER_ENEMY",20
45,2,140,0,"HIT","PLAYER","PLAYER_ENEMY",20
45,2,140,0,"MISS","PLAYER","PLAYER_ENEMY",20
45,2,140,0,"HIT","COMPANION","COMPANION_ENEMY",20
45,2,140,0,"MISS","PLAYER","PLAYER_ENEMY",21
45,2,140,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",21
45,2,140,1,"HIT","PLAYER","PLAYER_ENEMY",21
45,2,140,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",22
45,2,140,2,"MISS","PLAYER","PLAYER_ENEMY",22
45,2,146,2,"HIT","COMPANION","COMPANION_ENEMY",23
45,2,152,2,"MISS","PLAYER","PLAYER_ENEMY",23
45,2,152,2,"HIT","PLAYER","PLAYER_ENEMY",23
45,2,152,2,"HIT","COMPANION","COMPANION_ENEMY",23
45,2,164,2,"HIT","PLAYER","PLAYER_ENEMY",23
45,2,164,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",23
45,2,164,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",24
45,2,164,2,"MISS","PLAYER","PLAYER_ENEMY",24
45,2,164,2,"MISS","PLAYER","PLAYER_ENEMY",24
45,2,164,3,"HIT_KILL","COMPANION","COMPANION_ENEMY",24
45,2,164,3,"HIT","PLAYER","PLAYER_ENEMY",25
45,2,191,3,"HIT","PLAYER","PLAYER_ENEMY",25
45,2,200,3,"MISS","COMPANION","COMPANION_ENEMY",26
45,2,200,3,"HIT","PLAYER","PLAYER_ENEMY",26
45,2,200,3,"MISS","PLAYER","PLAYER_ENEMY",26
45,2,218,3,"MISS","PLAYER","PLAYER_ENEMY",26
45,2,218,0,"HIT","COMPANION","COMPANION_ENEMY",27
45,2,218,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",27
45,2,218,1,"HIT","COMPANION","COMPANION_ENEMY",27
45,2,218,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",28
45,2,218,2,"HIT","PLAYER","PLAYER_ENEMY",28
45,2,218,2,"MISS","PLAYER","PLAYER_ENEMY",28
45,2,218,2,"HIT","PLAYER","PLAYER_ENEMY",28
45,2,218,2,"BUFF","COMPANION","PLAYER_ENEMY",29
45,2,238,2,"MISS","PLAYER","PLAYER_ENEMY",29
45,2,238,2,"MISS","COMPANION","COMPANION_ENEMY",29
45,2,238,3,"HIT_KILL","PLAYER","PLAYER_ENEMY",29
45,2,256,3,"HIT","COMPANION","COMPANION_ENEMY",30
45,2,256,3,"HIT","PLAYER","PLAYER_ENEMY",30
45,2,256,3,"HIT","COMPANION","COMPANION_ENEMY",30
45,2,256,3,"HIT","PLAYER","PLAYER_ENEMY",30
45,2,256,3,"HIT","COMPANION","COMPANION_ENEMY",31
45,2,274,3,"MISS","PLAYER","PLAYER_ENEMY",31
45,2,274,3,"HIT","PLAYER","PLAYER_ENEMY",31
45,2,274,0,"MISS","PLAYER","PLAYER_ENEMY",31
45,2,274,0,"HIT","COMPANION","COMPANION_ENEMY",31
45,2,274,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",31
45,2,274,1,"MISS","COMPANION","COMPANION_ENEMY",32
45,2,274,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",32
45,2,274,3,"HIT_KILL","COMPANION","COMPANION_ENEMY",32
45,2,274,3,"MISS","COMPANION","COMPANION_ENEMY",33
45,2,322,3,"MISS","PLAYER","PLAYER_ENEMY",34
45,2,340,0,"MISS","PLAYER","PLAYER_ENEMY",36
45,2,340,0,"MISS","PLAYER","PLAYER_ENEMY",36
45,2,340,0,"HIT","COMPANION","COMPANION_ENEMY",37
45,2,340,0,"MISS","PLAYER","PLAYER_ENEMY",37
45,2,340,0,"HIT","COMPANION","COMPANION_ENEMY",37
45,2,340,0,"MISS","PLAYER","PLAYER_ENEMY",37
45,2,340,0,"HIT","PLAYER","PLAYER_ENEMY",38
45,2,340,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",38
45,2,340,1,"HIT","PLAYER","PLAYER_ENEMY",38
45,2,340,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",38
45,2,358,2,"BUFF","COMPANION","PLAYER_ENEMY",40
45,2,364,2,"HIT","PLAYER","PLAYER_ENEMY",40
45,2,364,0,"MISS","PLAYER","PLAYER_ENEMY",40
45,2,364,0,"HIT","COMPANION","COMPANION_ENEMY",40
45,2,364,0,"MISS","PLAYER","PLAYER_ENEMY",41
45,2,364,0,"HIT","COMPANION","COMPANION_ENEMY",41
45,2,364,0,"HIT","PLAYER","PLAYER_ENEMY",41
45,2,364,0,"MISS","COMPANION","COMPANION_ENEMY",41
45,2,364,1,"HIT_KILL","COMPANION","COMPANION_ENEMY",42
45,2,364,2,"HIT_KILL","PLAYER","PLAYER_ENEMY",42
45,2,364,2,"MISS","COMPANION","COMPANION_ENEMY",42
45,2,364,2,"MISS","COMPANION","COMPANION_ENEMY",43
45,2,364,2,"MISS","PLAYER","PLAYER_ENEMY",43
45,2,376,2,"HIT","COMPANION","COMPANION_ENEMY",43
45,2,396,2,"HIT","PLAYER","PLAYER_ENEMY",43
45,2,396,2,"MISS","COMPANION","COMPANION_ENEMY",44
45,2,396,0,"MISS","PLAYER","PLAYER_ENEMY",44
45,2,396,0,"HIT","PLAYER","PLAYER_ENEMY",44
45,2,396,0,"HIT","COMPANION","COMPANION_ENEMY",44
45,2,396,0,"HIT","PLAYER","PLAYER_ENEMY",44
45,2,396,0,"MISS","PLAYER","PLAYER_ENEMY",44
45,2,396,0,"HIT","PLAYER","PLAYER_ENEMY",44
45,2,396,0,"HIT","COMPANION","COMPANION_ENEMY",45
45,2,396,0,"NERF","PLAYER","PLAYER_ENEMY",45
45,2,396,0,"MISS","PLAYER","PLAYER_ENEMY",45
45,2,396,1,"HIT_KILL","PLAYER","PLAYER_ENEMY",45
45,2,396,1,"HIT","PLAYER","PLAYER_ENEMY",45
45,2,396,1,"HIT","COMPANION","COMPANION_ENEMY",45
45,2,396,2,"HIT_KILL","COMPANION","COMPANION_ENEMY",46
45,2,396,2,"HIT","PLAYER","PLAYER_ENEMY",46
45,2,396,3,"HIT_KILL","COMPANION","COMPANION_ENEMY",46
45,2,396,3,"MISS","PLAYER","PLAYER_ENEMY",46
45,2,405,3,"MISS","COMPANION","COMPANION_ENEMY",46
45,2,426,4,"HIT_KILL","PLAYER","PLAYER_ENEMY",47
45,2,426,4,"MISS","PLAYER","PLAYER_ENEMY",47
