study_ID,companion_Type,score,combo,event_Type,event_Actuator,event_Receiver,time_Seconds
61,2,0,0,HIT,COMPANION,COMPANION_ENEMY,7
61,2,0,0,HIT,COMPANION,COMPANION_ENEMY,8
61,2,0,1,HIT_KILL,COMPANION,COMPANION_ENEMY,8
61,2,0,1,HIT,PLAYER,PLAYER_ENEMY,9
61,2,0,1,MISS,PLAYER,PLAYER_ENEMY,10
61,2,6,1,MISS,PLAYER,PLAYER_ENEMY,10
61,2,6,0,HIT,PLAYER,PLAYER_ENEMY,10
61,2,6,0,HIT,COMPANION,COMPANION_ENEMY,10
61,2,6,0,MISS,PLAYER,PLAYER_ENEMY,11
61,2,6,0,HIT,PLAYER,PLAYER_ENEMY,11
61,2,6,0,HIT,COMPANION,COMPANION_ENEMY,11
61,2,6,0,MISS,PLAYER,PLAYER_ENEMY,11
61,2,6,0,BUFF,COMPANION,PLAYER_ENEMY,11
61,2,6,1,HIT_KILL,PLAYER,PLAYER_ENEMY,11
61,2,6,2,HIT_KILL,COMPANION,COMPANION_ENEMY,11
61,2,6,2,MISS,PLAYER,PLAYER_ENEMY,12
61,2,6,2,MISS,COMPANION,COMPANION_ENEMY,12
61,2,6,2,MISS,COMPANION,COMPANION_ENEMY,12
61,2,6,2,HIT,PLAYER,PLAYER_ENEMY,13
61,2,6,2,MISS,PLAYER,PLAYER_ENEMY,13
61,2,30,2,MISS,PLAYER,PLAYER_ENEMY,13
61,2,30,2,MISS,COMPANION,COMPANION_ENEMY,13
61,2,30,2,HIT,COMPANION,COMPANION_ENEMY,13
61,2,30,0,HIT,COMPANION,COMPANION_ENEMY,14
61,2,30,0,HIT,PLAYER,PLAYER_ENEMY,14
61,2,30,0,MISS,PLAYER,PLAYER_ENEMY,14
61,2,30,1,HIT_KILL,COMPANION,COMPANION_ENEMY,14
61,2,30,2,HIT_KILL,PLAYER,PLAYER_ENEMY,14
61,2,30,2,HIT,PLAYER,PLAYER_ENEMY,14
61,2,62,2,HIT,COMPANION,COMPANION_ENEMY,16
61,2,62,2,MISS,COMPANION,COMPANION_ENEMY,16
61,2,62,2,MISS,PLAYER,PLAYER_ENEMY,16
61,2,62,0,HIT,PLAYER,PLAYER_ENEMY,16
61,2,62,0,HIT,COMPANION,COMPANION_ENEMY,16
61,2,62,1,HIT_KILL,PLAYER,PLAYER_ENEMY,16
61,2,62,2,HIT_KILL,COMPANION,COMPANION_ENEMY,17
61,2,62,2,HIT,PLAYER,PLAYER_ENEMY,17
61,2,62,2,HIT,PLAYER,PLAYER_ENEMY,17
61,2,62,2,HIT,PLAYER,PLAYER_ENEMY,18
61,2,82,2,MISS,PLAYER,PLAYER_ENEMY,18
61,2,82,3,HIT_KILL,PLAYER,PLAYER_ENEMY,18
61,2,100,3,HIT,COMPANION,COMPANION_ENEMY,19
61,2,100,3,MISS,COMPANION,COMPANION_ENEMY,19
61,2,100,3,MISS,PLAYER,PLAYER_ENEMY,19
61,2,100,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,19
61,2,100,3,HIT,PLAYER,PLAYER_ENEMY,19
61,2,100,3,HIT,PLAYER,PLAYER_ENEMY,19
61,2,100,3,HIT,PLAYER,PLAYER_ENEMY,19
61,2,100,3,HIT,COMPANION,COMPANION_ENEMY,19
61,2,118,1,HIT_KILL,COMPANION,COMPANION_ENEMY,20
61,2,118,1,BUFF,COMPANION,PLAYER_ENEMY,21
61,2,118,1,HIT,PLAYER,PLAYER_ENEMY,21
61,2,118,2,HIT_KILL,PLAYER,PLAYER_ENEMY,21
61,2,118,2,MISS,COMPANION,COMPANION_ENEMY,21
61,2,118,2,HIT,COMPANION,COMPANION_ENEMY,22
61,2,118,2,MISS,PLAYER,PLAYER_ENEMY,22
61,2,118,2,HIT,PLAYER,PLAYER_ENEMY,22
61,2,130,2,HIT,COMPANION,COMPANION_ENEMY,22
61,2,130,2,HIT,PLAYER,PLAYER_ENEMY,22
61,2,130,3,HIT_KILL,COMPANION,COMPANION_ENEMY,23
61,2,130,3,MISS,PLAYER,PLAYER_ENEMY,23
61,2,136,4,HIT_KILL,PLAYER,PLAYER_ENEMY,23
61,2,152,4,HIT,COMPANION,COMPANION_ENEMY,23
61,2,152,5,HIT_KILL,PLAYER,PLAYER_ENEMY,23
61,2,152,5,MISS,COMPANION,COMPANION_ENEMY,24
61,2,167,5,HIT,COMPANION,COMPANION_ENEMY,24
61,2,282,5,NERF,PLAYER,PLAYER_ENEMY,25
61,2,282,6,HIT_KILL,COMPANION,COMPANION_ENEMY,25
61,2,282,6,MISS,COMPANION,COMPANION_ENEMY,25
61,2,282,6,HIT,PLAYER,PLAYER_ENEMY,26
